ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,1215736,7,BS,Micro (1-10),Medium (1M-10M),Transportation,609419,36
H.49.41.00,Trasporto di merci su strada,1.a Impresa,34526451,532,FR,Large (>250),Large (>10M),Transportation,279959,23
G.47.52.40,"""Commercio al dettaglio di macchine attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio""",1.a Impresa,4489261,10,FG,Micro (1-10),Medium (1M-10M),Wholesale/Retail,474191,36
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,3443126,7,TV,Micro (1-10),Medium (1M-10M),Transportation,466008,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,1268645,19,UD,Small (11-50),Medium (1M-10M),Transportation,1045787,36
N.82.90.00,SERVIZI DI SUPPORTO ALLE IMPRESE NCA,1.b Azienda individuale,272830,5,Unknown,Micro (1-10),Small (100k-1M),Business Services,535787,36
C.20.42.00,Fabbricazione di profumi e cosmetici,1.a Impresa,15505342,345,BG,Large (>250),Large (>10M),Manufacturing,476760,35
N.82.11.01,Servizi integrati di supporto per le funzioni d'ufficio,1.a Impresa,250721,1,CE,Micro (1-10),Small (100k-1M),Business Services,279271,21
G.45.31.01,Commercio all'ingrosso di parti e accessori di autoveicoli,1.a Impresa,45510498,89,RM,Medium (51-250),Large (>10M),Wholesale/Retail,748472,36
M.74.20.20,Laboratori fotografici per lo sviluppo e la stampa,1.a Impresa,3985990,32,Unknown,Small (11-50),Medium (1M-10M),Professional Services,537664,30
G.46.43.10,Commercio all'ingrosso di elettrodomestici di elettronica di consumo audio e video,1.a Impresa,12961598,7,MI,Micro (1-10),Large (>10M),Wholesale/Retail,496111,36
J.62.01.00,Produzione di software non connesso all'edizione,1.a Impresa,401470,3,MB,Micro (1-10),Small (100k-1M),Information/Technology,577056,21
J.63.99.00,Altre attività dei servizi di informazione nca,1.a Impresa,583855,3,MI,Micro (1-10),Small (100k-1M),Information/Technology,408877,36
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.b Azienda individuale,255473,5,PA,Micro (1-10),Small (100k-1M),Business Services,713468,36
M.74.90.99,Altre attività professionali nca,1.a Impresa,2661632,16,VR,Small (11-50),Medium (1M-10M),Professional Services,609144,36
G.47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,1.a Impresa,259336,7,RG,Micro (1-10),Small (100k-1M),Wholesale/Retail,602281,36
G.47.78.99,Commercio al dettaglio di altri prodotti non alimentari nca,1.b Azienda individuale,0,10,Unknown,Micro (1-10),No revenue,Wholesale/Retail,210545,10
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,951178,8,SA,Micro (1-10),Small (100k-1M),Business Services,601340,36
G.45.40.21,Commercio all'ingrosso e al dettaglio di parti e accessori per motocicli e ciclomotori,1.a Impresa,51856346,79,MB,Medium (51-250),Large (>10M),Wholesale/Retail,368982,22
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,6234239,9,BS,Micro (1-10),Medium (1M-10M),Transportation,564925,36
H.53.20.00,Altre attività postali e di corriere senza obbligo di servizio universale ,1.a Impresa,0,0,Unknown,No employees,No revenue,Transportation,1941560,32
H.53.20.00,ALTRE ATTIVITÀ POSTALI E DI CORRIERE,1.a Impresa,510318,4,MI,Micro (1-10),Small (100k-1M),Transportation,523715,36
G.46.46.10,Commercio all'ingrosso di medicinali,1.a Impresa,14366245,38,PO,Small (11-50),Large (>10M),Wholesale/Retail,523430,36
N.77.40.00,CONCESSIONE DEI DIRITTI DI SFRUTTAMENTO DI PROPRIETÀ INTELLETTUALE E PRODOTTI SIMILI (ESCLUSE LE OPERE PROTETTE DAL COPYRIGHT),1.a Impresa,5668241,20,BZ,Small (11-50),Medium (1M-10M),Business Services,629285,36
H.52.10.10,Magazzini di custodia e deposito per conto terzi,1.a Impresa,33282078,66,MB,Medium (51-250),Large (>10M),Transportation,257050,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.b Azienda individuale,0,3,Unknown,Micro (1-10),No revenue,Business Services,475596,36
